username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Comicbook.com,22490294,2018-06-07 02:28:00,A rare extension is about to push #AvengersInfinityWar over $2 billion at the worldwide box office!... https://t.co/ukgPBWT0CK,42,AvengersInfinityWar,130312,1916,0.375,0.9
THR International,2997657300,2018-06-07 03:08:20,"#AvengersInfinityWar has received a 30-day release extension in China, where it has already earned a whopping $358.... https://t.co/4itNV5TALb",33,AvengersInfinityWar,20602,226,0.0,0.0
Koimoi.com,99928370,2018-06-06 13:03:51,"#HrithikRoshan's 18 year long record finally broken by #AvengersInfinityWar!

@Avengers @Marvel_India @Marvel... https://t.co/dGewe7T1EP",33,HrithikRoshan,197378,919,-0.275,0.4
Comicbook.com,22490294,2018-06-07 13:45:56,This #AvengersInfinityWar flashback poster imagines what a 90s film version would look like! -... https://t.co/xSTu9hnq49,14,AvengersInfinityWar,130312,1916,0.0,0.0
Comic Book Resources,16031897,2018-06-07 22:30:44,Loeb Clarifies #AvengersInfinityWar Timeline for Marvel TV's Upcoming Seasons https://t.co/jQmMRLTkpH https://t.co/einCx8zYcC,12,AvengersInfinityWar,228871,830,0.0,0.0
Scott Mendelson,18025035,2018-06-03 15:12:14,Box Office: @VancityReynolds DEADPOOL 2 Nears $600 Million Worldwide And Becomes The Year's Third-Biggest Global Gr... https://t.co/J85iiImjFc,384,None,18583,1955,0.0,0.0
Comicbook.com,22490294,2018-06-07 14:14:59,"#ChrisHemsworth says #AvengersInfinityWar star #ChrisEvans ""quite cheaply"" copied him! - https://t.co/S316lEBiUr https://t.co/7rJqQNR81T",6,ChrisHemsworth,130312,1916,0.5,0.7
Screen Rant,14892220,2018-06-01 21:04:44,"#Avengers4 is 'even more shocking' than #AvengersInfinityWar

At least, according to Chris Hemsworth... https://t.co/BZXm9fDm1i",89,Avengers4,109620,287,-0.26666666666666666,0.6333333333333333
Wales Comic Con,186633933,2018-06-01 20:00:07,NEW MEDIA GUEST #WCC2018 - Pom Klementieff #AvengersInfinityWar #GuardiansOfTheGalaxy https://t.co/ySNySx07AT,108,WCC2018,17773,545,0.13636363636363635,0.45454545454545453
JustJared.com,19538986,2018-05-31 00:25:05,#AvengersInfinityWar co-stars Sebastian Stan and @chrishemsworth suit up for a reopening event and fashion show at... https://t.co/HR5mDKUZVv,46,AvengersInfinityWar,812782,2848,0.0,0.0
ErikDavis,15358891,2018-06-03 15:57:48,"BOX OFFICE: With $1.964M globally, #AvengersInfinityWar is fourth all-time and not far from overtaking... https://t.co/CTvby9aoP9",47,AvengersInfinityWar,36376,911,-0.016666666666666666,0.3333333333333333
Hollywood Reporter,17446621,2018-06-03 07:31:02,The young #Deadpool2 actor joins a cast that includes #AvengersInfinityWar star Van Marten and 'Crouching Tiger' st... https://t.co/dclOsyd8Oi,26,Deadpool2,2891162,2782,0.1,0.4
ComicBook NOW!,2896294831,2018-05-31 22:32:57,One of the co-directors of #AvengersInfinityWar is making his way to E3. And he could be talking about Marvel Games... https://t.co/2C9nah3dGc,22,AvengersInfinityWar,256622,11118,0.0,0.0
Scott Mendelson,18025035,2018-05-29 16:07:32,Box Office: #AvengersInfinityWar Can Top $2 Billion Worldwide If It Survives The Overseas Debut Of... https://t.co/rFPphL4C3f,14,AvengersInfinityWar,18583,1955,0.5,0.5
Comicbook.com,22490294,2018-05-29 14:43:00,"Could this new #DoctorStrange theory help solve the #AvengersInfinityWar cliffhanger??
https://t.co/YoN4cFoLb1 https://t.co/kgRAb0Ewhk",23,DoctorStrange,130312,1916,0.13636363636363635,0.45454545454545453
