username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
SunRisers Hyderabad,989137039,2018-06-07 08:16:48,. @rashidkhan_19's wrong 'un is borderline unreadable and he bowled a complete jaffa to dismiss CSK skipper MS Dhon... https://t.co/qn70GUmelc,100,None,2008280,346,-0.2,0.65
Dennis Does Goats,1289847366,2018-06-05 20:46:15,"Plenty of controversy around this article from Pakistani fans. 

Article is missing:

1) CSK ban
2) The secret enve... https://t.co/h5a9Nv4Ekq",38,None,81248,1856,-0.30000000000000004,0.375
Ambati Rayudu,539907711,2018-05-29 15:03:32,What an awesome comeback by csk.... enjoyed every bit of my time in yellow.. best team ever... @ChennaiIPL https://t.co/e1unoplk3j,3397,None,224290,57,0.625,0.5
Suresh Raina,121044171,2018-05-29 15:27:15,How many times do we really put such efforts to make someone else's day special? Our #YellowArmy did this for us ev... https://t.co/lmFqf54KTW,2578,YellowArmy,14648951,274,0.2642857142857143,0.44285714285714284
Dwayne DJ Bravo,186202772,2018-05-28 19:05:56,"To all our #csk fans you all have been requesting it so here it is from the champion @ djbravo47 to you ""We are the... https://t.co/cF21qObktf",1490,csk,979360,176,0.0,0.0
Surendhar MK,74450490,2018-05-31 12:00:35,"According to marketing command center Wavemaker Mesh, @ChennaiIPL secured the top spot on the social buzz securing... https://t.co/pvwQW3a2Fp",310,None,53856,362,0.14444444444444446,0.2222222222222222
Chennai Super Kings,117407834,2018-05-31 13:31:38,Thanks for all the #WhistlePodu's and #Yellove people! We just can't get enough! https://t.co/HjtxGfXmOl,379,WhistlePodu,4423533,404,0.125,0.35
Sportstar,3367687273,2018-06-03 17:35:01,"""Dhoni (@msdhoni) only interferes if the bowler's plan doesn't work out.""
Karn Sharma speaks to Wriddhaayan Bhattac... https://t.co/Yyuz995snw",255,None,13168,571,0.0,1.0
Kaushik LM,221647151,2018-05-29 06:36:07,"A total of 145 sixes this #IPL2018 by Champs #CSK - which is an alltime team sixes record,

#Watson - 35
#Rayudu -... https://t.co/QFArtoorYm",200,IPL2018,209030,377,0.0,0.75
Be A King,54617733,2018-06-04 15:37:38,"""We must put an end to violence or violence will put an end to us. Surely the tragic &amp; untimely death of this brill... https://t.co/Qfo3BVjjJv",67,None,203970,310,-0.125,0.8194444444444444
DNA,17710740,2018-06-04 02:38:11,"Watch: Devout MS Dhoni visits Durga temple, thanks goddess for CSK's IPL 2018 victory https://t.co/nVnnqDFD63 https://t.co/YQr0EYVhd7",69,None,1884723,372,0.2,0.2
Ramesh Bala,102268884,2018-05-29 02:48:02,"#CSK 's #IPL2018 winning captain #Dhoni with owner #IndiaCements #NSrinivasan , his daughter #Rupa and grand childr... https://t.co/qzXhViqlT2",93,CSK,301270,650,0.5,0.875
Ramesh Bala,102268884,2018-05-28 17:25:02,"Team #CSK is in #Chennai and #IPL2018 Trophy made it to T.Nagar #TTD Balaji Temple..

The trophy was placed before... https://t.co/DFR40fhuAK",149,CSK,301270,650,0.0,0.0
Ali Quli Mirza,80868525,2018-05-31 08:53:27,Amazing ..Catch the dynamic North South duo @RayuduAmbati &amp; Turbanator @harbhajan_singh spill cricket &amp; Biryani sec... https://t.co/3lxhygUOMs,55,None,30342,122,0.1666666666666667,0.5555555555555555
Chennai Super Kings,117407834,2018-06-04 10:11:06,"The #Yellove touch point for all seasons and all the updates about the lions! #WhistlePodu 
Download here -
Andro... https://t.co/0mCNJAa3YM",141,Yellove,4423533,404,0.0,0.0
Ramesh Bala,102268884,2018-05-28 13:05:44,#CSK 's Winning Trophies.. Latest Prized Possession : #IPL2018 Championship Trophy https://t.co/oAHoCTiNAw,40,CSK,301270,650,0.5,0.825
Cricbuzz,14251256,2018-05-28 16:16:29,"""I think IPL experience will certainly help me ahead of the series against Afghanistan,"" says Bangladesh allrounder... https://t.co/w06cPFRBG3",30,None,3796870,579,0.21428571428571427,0.5714285714285714
