username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
OnePlus,2196922086,2018-06-06 13:00:01,"Powerful, sleek, and fast!  These reactions to the #OnePlus6 are on point! https://t.co/jadt5mSEHJ https://t.co/UBtjiSUgNZ",230,OnePlus6,1436482,14,0.30625,0.8
OnePlus,2196922086,2018-06-06 11:00:02,The #OnePlus6 Silk White sold out in less than 24 hours - thanks for the amazing support! Check back on June 12 for... https://t.co/3tAMC2egjI,99,OnePlus6,1436482,14,0.15666666666666668,0.23333333333333334
Android Authority,95438524,2018-06-07 13:23:41,"#OnePlus6 international #giveaway!

Enter the giveaway: https://t.co/GkMgFjRiml

Courtesy of the Android Authority... https://t.co/E5xNLD9QPw",56,OnePlus6,910619,116,0.0,0.0
Android Authority,95438524,2018-06-07 09:24:49,The #OnePlus6 Silk White edition coming June 5 for $579 (Update: Sold out! Back in stock June 12) https://t.co/vapLhGrY17,20,OnePlus6,910619,116,0.0,0.0
OnePlus UK,4850675079,2018-06-07 16:00:46,"""This thing is seriously capable."" High praise for the #OnePlus6 from @T3dotcom! Longing for the stunning Silk Whit... https://t.co/lWTvVn1pFQ",10,OnePlus6,59850,12,0.3,0.6466666666666666
OnePlus UK,4850675079,2018-06-07 13:00:37,The best way to experience our full 6.28 inch screen. Free up room for the content you love with gesture controls.... https://t.co/yJOu2SCSC4,12,None,59850,12,0.5625,0.5625
Amit Bhawani,13625042,2018-06-01 08:10:01,"The BALI Vlog   - #ShotOnOnePlus6 (Ft @GeekyRanjit &amp; A Few Surprises)

https://t.co/kVgoohA7DE (In 4K 60FPS)
Do... https://t.co/rU1yYHozAn",620,ShotOnOnePlus6,102578,70,-0.2,0.1
OnePlus,2196922086,2018-05-31 11:00:00,Review your #OnePlus6 in a tweet! We will RT our 6 favorite user reviews in the coming hour. Ready? Start tweeting. https://t.co/6Mc6fgA2Iy,249,OnePlus6,1436482,14,0.35,0.75
OnePlus,2196922086,2018-06-01 11:00:01,A lustrous new color. The #OnePlus6 Silk White Limited Edition launches June 5. Discover it now at... https://t.co/Tx9DtFIjj5,241,OnePlus6,1436482,14,0.021645021645021644,0.19913419913419914
Amit Bhawani,13625042,2018-06-05 09:02:51,"New Video - https://t.co/TaUiBaoaB1 

#Honor10  Vs #OnePlus6 - What's The Best For Your Money?
Retweets Appreciate... https://t.co/zRiifqPGmK",558,Honor10,102578,70,0.5681818181818181,0.37727272727272726
OnePlus,2196922086,2018-05-30 15:00:22,More than just a coat of paint. Experience the depth and elegance of the #OnePlus6 Mirror Black.... https://t.co/Wj3ewCiJ2p,174,OnePlus6,1436482,14,0.16666666666666669,0.4666666666666667
OnePlus,2196922086,2018-06-02 15:00:01,Time-lapse your way through the massive queue at our #OnePlus6 pop-up in Utrecht! How long have you been waiting fo... https://t.co/Q5oC3CksjK,96,OnePlus6,1436482,14,-0.025,0.7
OnePlus,2196922086,2018-06-03 02:00:01,"Find out why @guardian calls the #OnePlus6 ""one of the best smartphone experiences available"" in their review.... https://t.co/hUAd7vQy7z",120,OnePlus6,1436482,14,0.7,0.35
OnePlus,2196922086,2018-06-03 11:00:00,Relentlessly refined. The #OnePlus6 raises the bar for glass smartphone design. Discover the design story behind ou... https://t.co/ABgm36IAty,156,OnePlus6,1436482,14,-0.4,0.7
OnePlus India,3138727082,2018-05-29 15:49:01,"Equip your #OnePlus6 with your very own powered suit, the Iron Man case. Now for sale on https://t.co/LSKuu61Zsi https://t.co/mAQ6reQI46",123,OnePlus6,1538693,5,0.78,1.0
OnePlus,2196922086,2018-05-29 13:00:01,Come at us! The #OnePlus6 shows @ZacksJerryRig what it's made of in this durability test. https://t.co/RDnCvQ2IXF https://t.co/qLnr97OjMi,125,OnePlus6,1436482,14,0.0,0.0
OnePlus,2196922086,2018-05-30 13:00:00,"""The speed, and the phone, you need."" The #OnePlus6 earned high praise in this eye-catching review by TechRadar.... https://t.co/cNKn37D5FO",87,OnePlus6,1436482,14,0.16,0.5399999999999999
OnePlus India,3138727082,2018-05-30 14:46:40,6et reckless with the Nylon Bumper case on the #OnePlus6. Now for sale at the OnePlus Experience Store. https://t.co/0UKuw5t5dR,86,OnePlus6,1538693,5,0.0,0.0
OnePlus,2196922086,2018-05-29 15:00:02,Flustered Mustard pushed the #OnePlus6 to its limits in his Lab review. Check it out now https://t.co/Wr8khAl1zS https://t.co/m9a6PLbcHK,63,OnePlus6,1436482,14,0.0,0.0
Pete Lau,226813577,2018-05-29 11:45:10,We heard you wanted a simple alert slider -- what do you think of the #OnePlus6 alert slider? https://t.co/ZaAyPvIX8f,57,OnePlus6,86447,134,0.0,0.35714285714285715
OnePlus UK,4850675079,2018-05-30 13:00:13,"""The speed, and the phone, you need."" say @techradar! Can you describe the #OnePlus6 in 6 words? Tell us with... https://t.co/MJollz6x4W",22,OnePlus6,59850,12,0.0,0.0
