title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,polarity,subjectivity,positive,neutral,negative
#Csk #winning #moments #trophy #all #players #Dhoni #playing #with #Ziva #Enjoy,PX4KAqg5fFM,779630,6464,493,277,0,0.2985,0.3742500000000001,1,0,0
Official CSK #WhistlePodu Video 2018,OlGfSKcWhdA,4523419,108416,3296,5271,0,-0.015000000000000003,0.26,0,0,1
CSK #SuperChampions celebrations,xRUREYmb_dE,2132485,43926,1300,1098,0,0.19666666666666666,0.21833333333333332,1,0,0
Dear CSK | Fully,LulRAZRAGdw,1912640,154630,4099,10936,0,0.27055555555555555,0.3644444444444444,1,0,0
Full Uncut Video: CSK Inside Dressing Room Celebration after Becoming Champions of IPL 2018,999AYYX5BHI,143110,2107,118,115,0,0.2772718253968254,0.40688492063492065,1,0,0
Csk vs Srh : Chennai Super Kings Celebration in Dressing room | Ipl 2018,PN14ijRl2-c,236043,1736,143,61,0,0.12333333333333334,0.2866666666666667,1,0,0
IPL 2018 : CSK Team Players Celebration with Trophy | Chennai is Champion of IPL-11 | CricNEWS,Njj0bP1YjR4,127563,956,60,49,0,0.14994949494949497,0.28965277777777776,1,0,0
Chennai Super Kings Celebrations After winning over SRH IPL 2018 | CSK Celebrates in Bus bravo Dance,ltqmf4Vzq6g,63882,352,33,20,0,0.18842592592592594,0.16064814814814815,1,0,0
Beautiful Moments Of CSK Team Captain Ms Dhoni After Winning Final Match With Family,pveqmdd0DoY,54074,435,35,8,0,0.4986742424242424,0.6803030303030303,1,0,0
CSK VS SRH TROLL VIDEO - IPL 2018,opcj8h4cUQI,138382,2065,193,104,0,0.09000000000000001,0.14,1,0,0
