title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,polarity,subjectivity,positive,neutral,negative
"Game of Thrones Season 8 Teaser Trailer #1 (2019) Emilia Clarke, Kit Harington / Trailer Concept",v5gsVRxzzI4,9936914,74477,13605,2698,0,0.09670833333333333,0.2923611111111111,1,0,0
Heartsbane: How Important Is This Valyrian Steel Sword? - Game of Thrones Season 8,WV51wBqco8U,24206,0,0,321,0,0.1444231601731602,0.3663490259740259,1,0,0
"Game of Thrones 6x03 REACTION & REVIEW ""Oathbreaker"" S06E03 | JuliDG",hKaSHAwErLk,1998,181,4,49,0,0.08198502713601827,0.49081273899711403,1,0,0
Game of Thrones Season 6 Episode 4 Explained in Hindi,CQWXDeVbFxs,6432,996,9,249,0,0.2058333333333333,0.3633333333333333,1,0,0
"Game of Thrones - ""Young and Beautiful"" Lana Del Rey",becFbacA5_A,4548178,6332,1014,255,0,0.10056159420289854,0.13958333333333336,1,0,0
The Long Night Theory everyone needs to hear! | Game of Thrones Season 8 Theory,BoWd03Pwuys,11952,888,22,178,0,0.234166700487013,0.36573961339586336,1,0,0
GAME OF THRONES en 4K ULTRA HD Bande Annonce (2018),TNAJHRMn7gs,7882,159,5,17,0,0.006249999999999999,0.33125,1,0,0
Game of Thrones Season Honest REACTION!!,kmc0_KKu-IQ,648,72,0,24,0,0.33201041666666664,0.4916666666666666,1,0,0
Game of Thrones Season 7: Official Trailer (HBO),giYeaKsXnsI,41062091,473081,15518,35873,0,0.07007575757575757,0.18404761904761904,1,0,0
Game of Thrones (Tema) - Aula de Violao FINGERSTYLE - Prof. FAROFA,cM2vGjFCbSE,499,99,0,7,0,0.0,0.009523809523809523,0,1,0
Game of Thrones - Top Ten Moments of Season 7 (Fan Vote),NGQ84HdgxYI,2819729,10313,878,1572,0,0.11138640873015873,0.38469742063492063,1,0,0
Maisie Williams Knows the End to Game of Thrones,86VjgW1wDfI,3180035,43092,905,2624,0,0.10096573565323563,0.33082684676434676,1,0,0
Game of Thrones : Bran saoule par ses cheveux ?! (INTERVIEW),TW8iXPCUzlg,483,32,0,1,0,0.0,0.0,0,1,0
These Big Theories Might Actually Happen Next Season - Game of Thrones Season 8 (End Game Theories),F-bLa76g0nA,123099,0,0,737,0,0.12843598242035742,0.33678952991452993,1,0,0
Daenerys END Game Theories! Game Of Thrones (Season 8),mnhXNNuWSyg,1039,90,4,12,0,0.1644362495143745,0.4090211429984157,1,0,0
"Game of Thrones 1x8 ""The Pointy End"" - Reaction",ZtupQAiqkbg,168,21,0,15,0,0.17129629629629634,0.5127314814814814,1,0,0
Danelle 'The Mad' Lothston #3 | CK2 Game of Thrones Mod Livestream,KBdFm7SbxKE,572,27,1,5,0,0.19444444444444442,0.4277777777777778,1,0,0
"Game of Thrones 6x8 Reaction ""No One""",1FhH-E7I26U,941,50,3,16,0,0.19062783446712017,0.45458900226757365,1,0,0
What's The Real Story Behind The Catspaw Dagger? - Game of Thrones Season 8 (End Game Theory),g85RGGp8sFI,79567,0,0,620,0,0.10122960026085026,0.28127761127761125,1,0,0
Top 10 Satisfying Moments in Game of Thrones,E9nudSkPOiI,4279959,37686,2778,3833,0,0.19473748473748476,0.3883529456654457,1,0,0
Game of Thrones Q&A + Ragnarok in Westeros and Season 8 News - Livestream,JX4DzMsveZs,413,60,5,9,0,0.23208333333333334,0.33715277777777775,1,0,0
Tour the Game of Thrones Set with Emilia Clarke (Daenerys Targaryen) // Omaze,PEZiiKpE-jY,2721601,73126,2258,4596,0,0.22799404761904762,0.5141071428571429,1,0,0
What was Winterfell? | Game of Thrones Season 8 Theory |  Crypts of Winterfell Theory,zUIb6MXyBPs,44635,1423,45,256,0,0.26063687000210434,0.500351896945647,1,0,0
