title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,polarity,subjectivity,positive,neutral,negative
Marvel Studios' Avengers: Infinity War Official Trailer,6ZfuNTqbHE8,199557304,3324167,79151,446688,0,0.134453125,0.1759375,1,0,0
Marvel Studios' Avengers: Infinity War - Official Trailer,QwievZ1Tx-8,81899526,1751841,41207,222013,0,0.2659583333333334,0.38300000000000006,1,0,0
1072,0,0.04224957231353716,0.41550114237614244,1,0,0
Protester interrupts Trump: Stop hiding behind National Anthem,rWNRcej4xtA,513654,5738,1636,6872,0,0.10261429398148147,0.37743441358024693,1,0,0
"Tariffs lead to tense Trudeau, Trump phone call",DCAHi_b8Epg,55930,404,128,1131,0,0.14205767086448903,0.37303148366784733,1,0,0
President Trump and Vice President Pence Attend the 2018 Hurricane Briefing at FEMA HQ,zyX1QD1Ou3g,26402,700,38,370,0,0.05864424815405818,0.3959461771393589,1,0,0
'Take me home': Alice Johnson released from prison after Trump commutes sentence,Lh4Ht3cWGlI,12705,253,4,250,0,0.1956765769675926,0.40023263888888894,1,0,0
Kim Jong-Un Had A Big Message For Trump,Xp00Qd02G84,820141,9945,220,788,0,0.08976010101010104,0.3070359848484849,1,0,0
"MELANIA and President Trump Participate in FEMA Cabinet Meeting June 6, 2018",OwKB30EKgK0,16182,347,17,167,0,0.07651190476190475,0.36277777777777775,1,0,0
"Donald Trump FORGETS Words To ""God Bless America"" In Front Of Crowd",XJw1e0hK2mE,26647,938,25,759,0,0.02689276695526695,0.26937310606060605,1,0,0
"Trump Hit With Criticism Over ""Celebration Of America"" Without Eagles | Velshi & Ruhle | MSNBC",FsfgON5STXI,96968,1230,60,935,0,0.07270208953373017,0.3638903439153439,1,0,0
"Trump praises Pruitt, snubs Sessions at FEMA",iUFQRhXnESY,41099,331,101,598,0,0.0866844474969475,0.3483524369149369,1,0,0
Trump: I have 'absolute right to pardon myself',D7CmjR0gfwU,279557,2028,577,4580,0,0.02732254464285715,0.41340057319223983,1,0,0
Melania Trump makes first media appearance in 26 days,HkyknSe6N9A,104824,442,230,1273,0,0.036445994543650787,0.484202380952381,1,0,0
"Alice Johnson thanks Trump, Kim Kardashian West",40sHIfh8k80,143138,1646,234,2566,0,0.04305094060193522,0.4350786703570318,1,0,0
Who is the 'Real' Melania Trump? Who Knows. | NYT News,aigisjckOrk,20285,345,84,171,0,0.04544678932178932,0.4501478174603174,1,0,0
Trump: We are renegotiating a lot of trade deals,7b5I9nQ0JKc,24950,707,61,610,0,0.05180406034024456,0.37395265507518805,1,0,0
Is Donald Trump Converting To Islam? | The Daily Show With Trevor Noah,E_KpEFL1rJY,543711,7998,621,1006,0,0.04985389610389611,0.3757251082251082,1,0,0
Bill Clinton Wants Trump To Succeed With North Korea,odxGjyeNQRw,426119,4176,246,798,0,0.133273893269429,0.4066593163780663,1,0,0
Trump commutes woman's sentence after Kardashian plea,uS9-q2lUwuA,50484,499,142,1411,0,0.14300694444444445,0.4983938492063492,1,0,0
Erin Burnett to Trump: No one believes you except ...,G5Uv3QCQg2w,186810,1722,355,2520,0,-0.026242638437950945,0.23699693362193358,0,0,1
President Trump commends first lady at FEMA briefing,EFp1ii6AoWM,5647,181,12,122,0,0.10328645833333334,0.46801388888888884,1,0,0
"Trump Tweets ""News Media Has Been So Unfair"" To Melania Trump | The View",WvA-AmmJcUk,262365,2475,366,1695,0,0.11115383184523808,0.40044642857142854,1,0,0
Justin Trudeau rejects Trump's separate trade deal proposal in 1-on-1 interview,-7pzajNYUe0,19666,189,64,493,0,0.062141203703703705,0.3089136904761905,1,0,0
Trump Disinvites The Eagles For... Never Kneeling?,2kxeAg1Ydi0,1642645,25284,739,3210,0,0.06591666666666667,0.47458333333333336,1,0,0
Philly Mayor On President Trump Canceling Eagles Event: He's 'Meaningless' | The 11th Hour | MSNBC,nPUy-MLFJq8,30722,465,37,454,0,-0.018052549302549306,0.49690067340067345,0,0,1
